CD_CARGO,DS_CARGO_x,SQ_CANDIDATO,NR_IDADE_DATA_POSSE_x,CD_GENERO,DS_GENERO_x,CD_GRAU_INSTRUCAO,DS_GRAU_INSTRUCAO_x,CD_ESTADO_CIVIL,DS_ESTADO_CIVIL_x,CD_COR_RACA,DS_COR_RACA_x,CD_OCUPACAO,DS_OCUPACAO_x,ST_REELEICAO_x,VR_BEM_CANDIDATO_x,QT_VOTOS_NOMINAIS_x,NM_URNA_CANDIDATO,DS_SIT_TOT_TURNO
7,DEPUTADO ESTADUAL,190001603242,50.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,115,ODONTOLOGO,N,21441.76,1124,DR. MARCELO BARROS,SUPLENTE
7,DEPUTADO ESTADUAL,240001643355,54.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,125,ADMINISTRADOR,N,335000.0,728,MARIO PEREIRA ACEPRED,NAO ELEITO
7,DEPUTADO ESTADUAL,60001613150,52.0,4,FEMININO,6,ENSINO MEDIO COMPLETO,3,CASADO(A),3,PARDA,169,COMERCIANTE,N,65000.0,621,VÂNIA DOS QUEIJOS,NAO ELEITO
6,DEPUTADO FEDERAL,160001621931,52.0,2,MASCULINO,7,SUPERIOR INCOMPLETO,3,CASADO(A),1,BRANCA,298,SERVIDOR PUBLICO MUNICIPAL,N,641000.0,2665,NILSON FALAVINHA,SUPLENTE
7,DEPUTADO ESTADUAL,210001620198,62.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,266,PROFESSOR DE ENSINO MEDIO,N,21957598.22,48409,PROFESSOR BONATTO,ELEITO POR QP
6,DEPUTADO FEDERAL,40001609172,49.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),3,PARDA,277,DEPUTADO,S,985950.0,74387,MARCELO RAMOS,SUPLENTE
7,DEPUTADO ESTADUAL,210001649795,30.0,2,MASCULINO,8,SUPERIOR COMPLETO,1,SOLTEIRO(A),1,BRANCA,257,EMPRESARIO,N,17000.0,4995,CLAUDIO PARANHOS,SUPLENTE
6,DEPUTADO FEDERAL,250001717124,42.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),2,PRETA,144,DIRETOR DE ESTABELECIMENTO DE ENSINO,N,12191.15,4995,CLAUDIO PARANHOS,NAO ELEITO
6,DEPUTADO FEDERAL,160001597839,31.0,4,FEMININO,8,SUPERIOR COMPLETO,1,SOLTEIRO(A),1,BRANCA,126,ANALISTA DE SISTEMAS,N,97080.59,911,KELIN PICCOLLI,NAO ELEITO
7,DEPUTADO ESTADUAL,240001647222,33.0,2,MASCULINO,7,SUPERIOR INCOMPLETO,3,CASADO(A),1,BRANCA,257,EMPRESARIO,N,439500.0,428,FUZILEIRO OZIEL SANTOS,NAO ELEITO
7,DEPUTADO ESTADUAL,240001647226,46.0,2,MASCULINO,8,SUPERIOR COMPLETO,9,DIVORCIADO(A),1,BRANCA,142,PROFESSOR DE ENSINO SUPERIOR,N,105000.0,132,MENEGAZZO,NAO ELEITO
7,DEPUTADO ESTADUAL,190001606326,62.0,2,MASCULINO,6,ENSINO MEDIO COMPLETO,3,CASADO(A),3,PARDA,923,APOSENTADO (EXCETO SERVIDOR PUBLICO),N,206828.26,3179,JULINHO DO AEROPORTO,SUPLENTE
7,DEPUTADO ESTADUAL,210001621296,48.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,278,VEREADOR,N,50126.34,2633,MOISÉS FONTOURA,SUPLENTE
7,DEPUTADO ESTADUAL,140001676116,67.0,4,FEMININO,8,SUPERIOR COMPLETO,9,DIVORCIADO(A),3,PARDA,257,EMPRESARIO,N,1300000.0,111,PROFESSORA ROSELITA,NAO ELEITO
3,GOVERNADOR,250001601996,41.0,4,FEMININO,8,SUPERIOR COMPLETO,1,SOLTEIRO(A),1,BRANCA,266,PROFESSOR DE ENSINO MEDIO,N,205000.0,88767,CAROL VIGLIAR,NAO ELEITO
7,DEPUTADO ESTADUAL,60001635792,50.0,2,MASCULINO,8,SUPERIOR COMPLETO,1,SOLTEIRO(A),3,PARDA,297,SERVIDOR PUBLICO ESTADUAL,N,19000.0,2890,EDSON SANTOS,SUPLENTE
6,DEPUTADO FEDERAL,190001645406,68.0,2,MASCULINO,6,ENSINO MEDIO COMPLETO,3,CASADO(A),2,PRETA,999,OUTROS,N,263000.0,2890,EDSON SANTOS,NAO ELEITO
7,DEPUTADO ESTADUAL,140001621061,59.0,2,MASCULINO,6,ENSINO MEDIO COMPLETO,9,DIVORCIADO(A),2,PRETA,601,AGRICULTOR,N,200000.0,2890,EDSON SANTOS,SUPLENTE
6,DEPUTADO FEDERAL,190001638620,41.0,4,FEMININO,7,SUPERIOR INCOMPLETO,9,DIVORCIADO(A),1,BRANCA,162,ATOR E DIRETOR DE ESPETACULOS PUBLICOS,N,10000.0,4997,ELISA SANCHES,NAO ELEITO
7,DEPUTADO ESTADUAL,250001611822,32.0,2,MASCULINO,7,SUPERIOR INCOMPLETO,1,SOLTEIRO(A),1,BRANCA,172,PUBLICITARIO,N,25000.0,2312,JOEL JUNIOR,SUPLENTE
6,DEPUTADO FEDERAL,210001621260,38.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),2,PRETA,999,OUTROS,N,6500.0,2312,JOEL JUNIOR,SUPLENTE
6,DEPUTADO FEDERAL,150001612089,52.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,277,DEPUTADO,S,660987.6599999999,102531,RUY CARNEIRO,ELEITO POR MEDIA
7,DEPUTADO ESTADUAL,90001653805,39.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),3,PARDA,257,EMPRESARIO,N,214021.0,1840,HUGÃO,SUPLENTE
7,DEPUTADO ESTADUAL,130001645034,56.0,2,MASCULINO,7,SUPERIOR INCOMPLETO,3,CASADO(A),3,PARDA,999,OUTROS,N,54000.0,82,MINEIRINHO BH UAI,NAO ELEITO
6,DEPUTADO FEDERAL,130001645092,59.0,4,FEMININO,4,ENSINO FUNDAMENTAL COMPLETO,3,CASADO(A),3,PARDA,923,APOSENTADO (EXCETO SERVIDOR PUBLICO),N,879000.0,259,PASTORA BETH,NAO ELEITO
7,DEPUTADO ESTADUAL,130001634058,48.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,999,OUTROS,N,380000.0,3182,RENATO TIVERON,SUPLENTE
7,DEPUTADO ESTADUAL,250001643776,57.0,2,MASCULINO,6,ENSINO MEDIO COMPLETO,3,CASADO(A),1,BRANCA,921,MILITAR REFORMADO,N,10000.0,2853,BETIU,SUPLENTE
6,DEPUTADO FEDERAL,190001609719,56.0,2,MASCULINO,6,ENSINO MEDIO COMPLETO,1,SOLTEIRO(A),3,PARDA,923,APOSENTADO (EXCETO SERVIDOR PUBLICO),N,146904.2,232,RICARDO ACIOLI,NAO ELEITO
7,DEPUTADO ESTADUAL,250001602021,43.0,4,FEMININO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,118,FONOAUDIOLOGO,N,451032.22,14646,LIGIA MENDES,NAO ELEITO
5,SENADOR,230001670969,50.0,2,MASCULINO,4,ENSINO FUNDAMENTAL COMPLETO,3,CASADO(A),3,PARDA,257,EMPRESARIO,N,264000.0,2822,MARANHÃO DO POVÃO,NAO ELEITO
6,DEPUTADO FEDERAL,160001654805,43.0,4,FEMININO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,168,ATLETA PROFISSIONAL E TECNICO EM DESPORTOS,N,199279.99,3639,PROFESSORA ANGELA GARCIA,SUPLENTE
6,DEPUTADO FEDERAL,250001613795,49.0,2,MASCULINO,8,SUPERIOR COMPLETO,1,SOLTEIRO(A),1,BRANCA,142,PROFESSOR DE ENSINO SUPERIOR,N,617207.8,17644,VLADIMIR SAFATLE,SUPLENTE
7,DEPUTADO ESTADUAL,190001598386,57.0,2,MASCULINO,8,SUPERIOR COMPLETO,9,DIVORCIADO(A),1,BRANCA,257,EMPRESARIO,N,300000.0,2624,ADALBERTO SANTOS,NAO ELEITO
6,DEPUTADO FEDERAL,190001714800,59.0,2,MASCULINO,8,SUPERIOR COMPLETO,9,DIVORCIADO(A),3,PARDA,297,SERVIDOR PUBLICO ESTADUAL,N,347000.0,759,MURILO MORAES,NAO ELEITO
7,DEPUTADO ESTADUAL,160001654952,59.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,278,VEREADOR,N,45000.0,9297,CELSO DAL MOLIN,SUPLENTE
7,DEPUTADO ESTADUAL,190001619462,54.0,2,MASCULINO,6,ENSINO MEDIO COMPLETO,3,CASADO(A),1,BRANCA,169,COMERCIANTE,N,150000.0,2255,TIMOR,SUPLENTE
6,DEPUTADO FEDERAL,90001650666,49.0,2,MASCULINO,6,ENSINO MEDIO COMPLETO,3,CASADO(A),2,PRETA,537,MOTORISTA PARTICULAR,N,5000.0,531,ADEMILTON SANTOS,NAO ELEITO
7,DEPUTADO ESTADUAL,130001723084,78.0,2,MASCULINO,8,SUPERIOR COMPLETO,1,SOLTEIRO(A),1,BRANCA,115,ODONTOLOGO,N,1200000.0,39,JESUS FERREIRA,SUPLENTE
8,DEPUTADO DISTRITAL,70001620327,38.0,4,FEMININO,8,SUPERIOR COMPLETO,3,CASADO(A),6,NAO INFORMADO,132,PSICOLOGO,N,135000.0,2041,SAMARA BRITO,SUPLENTE
6,DEPUTADO FEDERAL,60001619091,62.0,4,FEMININO,6,ENSINO MEDIO COMPLETO,1,SOLTEIRO(A),1,BRANCA,999,OUTROS,N,3000.0,46,NARLIA NARBAL,NAO ELEITO
7,DEPUTADO ESTADUAL,200001618065,40.0,2,MASCULINO,3,ENSINO FUNDAMENTAL INCOMPLETO,1,SOLTEIRO(A),3,PARDA,164,MUSICO,N,14669.7,371,CACHORRÃO DO BREGA,NAO ELEITO
7,DEPUTADO ESTADUAL,100001608107,34.0,2,MASCULINO,6,ENSINO MEDIO COMPLETO,1,SOLTEIRO(A),1,BRANCA,257,EMPRESARIO,N,20000.0,307,CADU DO POVO,SUPLENTE
7,DEPUTADO ESTADUAL,100001608130,47.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),3,PARDA,111,MEDICO,N,152000.0,1098,DR LOURIVAL LIMA,SUPLENTE
6,DEPUTADO FEDERAL,250001725452,60.0,2,MASCULINO,7,SUPERIOR INCOMPLETO,1,SOLTEIRO(A),3,PARDA,257,EMPRESARIO,N,28340.25,177,FÁBIO MAGALHÃES,SUPLENTE
7,DEPUTADO ESTADUAL,200001604191,41.0,2,MASCULINO,6,ENSINO MEDIO COMPLETO,1,SOLTEIRO(A),1,BRANCA,537,MOTORISTA PARTICULAR,N,210000.0,2195,GILVAN BALADA,SUPLENTE
7,DEPUTADO ESTADUAL,100001599578,39.0,2,MASCULINO,6,ENSINO MEDIO COMPLETO,3,CASADO(A),3,PARDA,278,VEREADOR,N,320581.0,1762,DANILO,SUPLENTE
6,DEPUTADO FEDERAL,240001602690,50.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,278,VEREADOR,N,382242.09,4786,JOSUÉ PEREIRA,SUPLENTE
7,DEPUTADO ESTADUAL,130001607722,48.0,4,FEMININO,6,ENSINO MEDIO COMPLETO,1,SOLTEIRO(A),1,BRANCA,999,OUTROS,N,4000.0,129,JACQUELINE BELICO,SUPLENTE
7,DEPUTADO ESTADUAL,130001645040,41.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),3,PARDA,999,OUTROS,N,27252.0,517,WELINGTON SANTOS,NAO ELEITO
7,DEPUTADO ESTADUAL,250001611481,35.0,4,FEMININO,8,SUPERIOR COMPLETO,1,SOLTEIRO(A),1,BRANCA,278,VEREADOR,N,9968.1,2220,CAROL RIBEIRO,SUPLENTE
6,DEPUTADO FEDERAL,70001621231,34.0,4,FEMININO,8,SUPERIOR COMPLETO,1,SOLTEIRO(A),3,PARDA,257,EMPRESARIO,N,135000.0,2220,CAROL RIBEIRO,NAO ELEITO
7,DEPUTADO ESTADUAL,110001612944,56.0,2,MASCULINO,7,SUPERIOR INCOMPLETO,3,CASADO(A),1,BRANCA,602,PECUARISTA,S,24657178.25,42156,DILMAR DAL BOSCO,ELEITO POR QP
7,DEPUTADO ESTADUAL,50001606395,67.0,4,FEMININO,6,ENSINO MEDIO COMPLETO,1,SOLTEIRO(A),1,BRANCA,113,ENFERMEIRO,S,469883.66,47851,NEUSA CADORE,SUPLENTE
7,DEPUTADO ESTADUAL,260001644231,65.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),3,PARDA,257,EMPRESARIO,N,2315846.91,18073,LUCIANO PIMENTEL,ELEITO POR QP
7,DEPUTADO ESTADUAL,200001603621,63.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,101,ENGENHEIRO,N,1115000.0,2919,JACKSON BEZERRA,SUPLENTE
6,DEPUTADO FEDERAL,250001611970,63.0,2,MASCULINO,7,SUPERIOR INCOMPLETO,9,DIVORCIADO(A),2,PRETA,999,OUTROS,N,300000.0,895,PAI AIRTON,SUPLENTE
6,DEPUTADO FEDERAL,50001600758,49.0,2,MASCULINO,8,SUPERIOR COMPLETO,9,DIVORCIADO(A),1,BRANCA,296,SERVIDOR PUBLICO FEDERAL,N,431422.03,934,INSPETOR CUNHA,NAO ELEITO
7,DEPUTADO ESTADUAL,100001606617,59.0,4,FEMININO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,277,DEPUTADO,N,489939.91,5069,BETEL GOMES,SUPLENTE
6,DEPUTADO FEDERAL,80001721785,59.0,4,FEMININO,6,ENSINO MEDIO COMPLETO,9,DIVORCIADO(A),3,PARDA,254,VIGILANTE,N,300000.0,349,IVONETE ROCHA,NAO ELEITO
7,DEPUTADO ESTADUAL,50001610359,49.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),3,PARDA,278,VEREADOR,N,460831.23,7226,ALEXANDRE MARQUES,SUPLENTE
7,DEPUTADO ESTADUAL,200001652909,48.0,4,FEMININO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,278,VEREADOR,N,628611.4,10665,LARISSA ROSADO,SUPLENTE
7,DEPUTADO ESTADUAL,210001605736,52.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,297,SERVIDOR PUBLICO ESTADUAL,N,10886.84,745,MARCELO TATAU,NAO ELEITO
7,DEPUTADO ESTADUAL,240001616214,61.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),3,PARDA,142,PROFESSOR DE ENSINO SUPERIOR,N,49220.05,5453,NADIR BAU,SUPLENTE
7,DEPUTADO ESTADUAL,130001615592,60.0,4,FEMININO,8,SUPERIOR COMPLETO,9,DIVORCIADO(A),3,PARDA,257,EMPRESARIO,N,308702.53,787,CASSIA BARBOSA,SUPLENTE
6,DEPUTADO FEDERAL,170001619590,58.0,4,FEMININO,8,SUPERIOR COMPLETO,1,SOLTEIRO(A),1,BRANCA,999,OUTROS,N,90000.0,1078,NEIDE FREITAS,SUPLENTE
6,DEPUTADO FEDERAL,130001610994,73.0,2,MASCULINO,8,SUPERIOR COMPLETO,9,DIVORCIADO(A),1,BRANCA,131,ADVOGADO,N,303000.0,1217,ZÉ RICO TONIPLAY O REI DO GADO,NAO ELEITO
7,DEPUTADO ESTADUAL,140001601801,36.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,115,ODONTOLOGO,N,64639.64,4682,DR RENATO,SUPLENTE
7,DEPUTADO ESTADUAL,160001723061,43.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),3,PARDA,142,PROFESSOR DE ENSINO SUPERIOR,N,191200.0,4682,DR RENATO,NAO ELEITO
6,DEPUTADO FEDERAL,160001614456,66.0,2,MASCULINO,6,ENSINO MEDIO COMPLETO,1,SOLTEIRO(A),1,BRANCA,171,JORNALISTA E REDATOR,N,7000.0,528,JORNALISTA KANDIDO DE OLIVEIRA,NAO ELEITO
7,DEPUTADO ESTADUAL,80001609630,37.0,2,MASCULINO,8,SUPERIOR COMPLETO,1,SOLTEIRO(A),1,BRANCA,257,EMPRESARIO,N,4177695.01,2534,RAFAEL OTTAIANO,SUPLENTE
6,DEPUTADO FEDERAL,230001602809,48.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,257,EMPRESARIO,N,50560142.4,14793,DUDA RAMOS,ELEITO POR MEDIA
7,DEPUTADO ESTADUAL,190001649605,52.0,4,FEMININO,7,SUPERIOR INCOMPLETO,3,CASADO(A),3,PARDA,581,DONA DE CASA,N,87941.44,606,LUCIA MACHADO,SUPLENTE
6,DEPUTADO FEDERAL,110001675052,59.0,4,FEMININO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,277,DEPUTADO,S,279464.16000000003,124671,PROFESSORA ROSA NEIDE,NAO ELEITO
6,DEPUTADO FEDERAL,250001610278,53.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),3,PARDA,131,ADVOGADO,S,1083076.99,10588,SARGENTO ALEXANDRE,SUPLENTE
7,DEPUTADO ESTADUAL,150001718108,35.0,2,MASCULINO,8,SUPERIOR COMPLETO,1,SOLTEIRO(A),1,BRANCA,114,FISIOTERAPEUTA E TERAPEUTA OCUPACIONAL,N,142000.0,291,MAX JUNIOR,SUPLENTE
7,DEPUTADO ESTADUAL,180001713667,28.0,2,MASCULINO,8,SUPERIOR COMPLETO,1,SOLTEIRO(A),3,PARDA,298,SERVIDOR PUBLICO MUNICIPAL,N,150000.0,528,SAMUEL BRANDÃO,NAO ELEITO
7,DEPUTADO ESTADUAL,170001609303,50.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),3,PARDA,232,POLICIAL CIVIL,N,258133.3,3055,KIKO,SUPLENTE
7,DEPUTADO ESTADUAL,130001598601,44.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),3,PARDA,142,PROFESSOR DE ENSINO SUPERIOR,N,877719.53,2972,PROFESSOR WAGNER INÁCIO,SUPLENTE
6,DEPUTADO FEDERAL,130001610989,48.0,4,FEMININO,8,SUPERIOR COMPLETO,9,DIVORCIADO(A),3,PARDA,131,ADVOGADO,N,6477.3,780,DRA ERIKA LOPES,SUPLENTE
7,DEPUTADO ESTADUAL,250001602126,33.0,4,FEMININO,6,ENSINO MEDIO COMPLETO,3,CASADO(A),3,PARDA,257,EMPRESARIO,N,217142.57,1184,CAMILA SANGREGORIO,SUPLENTE
6,DEPUTADO FEDERAL,50001620882,44.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,257,EMPRESARIO,N,1951938.65,6104,DANIEL EVANGELISTA,SUPLENTE
7,DEPUTADO ESTADUAL,190001612183,45.0,4,FEMININO,7,SUPERIOR INCOMPLETO,3,CASADO(A),1,BRANCA,999,OUTROS,N,100000.0,1309,LÍVIA OLIVEIRA,SUPLENTE
6,DEPUTADO FEDERAL,180001643074,40.0,4,FEMININO,6,ENSINO MEDIO COMPLETO,1,SOLTEIRO(A),3,PARDA,233,POLICIAL MILITAR,N,173831.0,1309,LÍVIA OLIVEIRA,NAO ELEITO
7,DEPUTADO ESTADUAL,240001610214,45.0,4,FEMININO,7,SUPERIOR INCOMPLETO,3,CASADO(A),3,PARDA,999,OUTROS,N,130000.0,1309,LÍVIA OLIVEIRA,SUPLENTE
7,DEPUTADO ESTADUAL,130001605813,37.0,4,FEMININO,8,SUPERIOR COMPLETO,3,CASADO(A),3,PARDA,125,ADMINISTRADOR,N,178215029.38,345,MONICA DELGADO,SUPLENTE
7,DEPUTADO ESTADUAL,160001723225,56.0,4,FEMININO,4,ENSINO FUNDAMENTAL COMPLETO,7,SEPARADO(A) JUDICIALMENTE,1,BRANCA,257,EMPRESARIO,N,5000.0,312,ZENI UNIAO,NAO ELEITO
6,DEPUTADO FEDERAL,190001619485,49.0,2,MASCULINO,8,SUPERIOR COMPLETO,9,DIVORCIADO(A),1,BRANCA,999,OUTROS,N,500000.0,8448,CLAUDIO CHUMBINHO,NAO ELEITO
6,DEPUTADO FEDERAL,190001605596,45.0,2,MASCULINO,8,SUPERIOR COMPLETO,9,DIVORCIADO(A),1,BRANCA,235,PROFESSOR E INSTRUTOR DE FORMACAO PROFISSIONAL,N,380000.0,2122,HAROLDO BUNN,SUPLENTE
7,DEPUTADO ESTADUAL,120001646508,64.0,4,FEMININO,8,SUPERIOR COMPLETO,9,DIVORCIADO(A),1,BRANCA,115,ODONTOLOGO,N,155000.0,507,HELANE RIBEIRO,SUPLENTE
7,DEPUTADO ESTADUAL,20001621807,62.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,169,COMERCIANTE,N,100000.0,1797,AIRTON DA VIGILÂNCIA,NAO ELEITO
7,DEPUTADO ESTADUAL,20001620169,45.0,2,MASCULINO,6,ENSINO MEDIO COMPLETO,3,CASADO(A),3,PARDA,999,OUTROS,N,118000.0,224,ULISSES SUPER MITO,SUPLENTE
7,DEPUTADO ESTADUAL,40001618658,48.0,4,FEMININO,8,SUPERIOR COMPLETO,9,DIVORCIADO(A),1,BRANCA,277,DEPUTADO,S,998255.35,48533,ALESSANDRA CAMPELO,ELEITO POR QP
7,DEPUTADO ESTADUAL,50001606436,54.0,2,MASCULINO,7,SUPERIOR INCOMPLETO,3,CASADO(A),1,BRANCA,277,DEPUTADO,S,1213440.0,66940,MARQUINHO VIANA,ELEITO POR QP
6,DEPUTADO FEDERAL,240001611144,45.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),1,BRANCA,277,DEPUTADO,S,3117376.23,74066,RICARDO GUIDI,ELEITO POR MEDIA
7,DEPUTADO ESTADUAL,230001600138,51.0,2,MASCULINO,5,ENSINO MEDIO INCOMPLETO,9,DIVORCIADO(A),3,PARDA,257,EMPRESARIO,N,11000.0,60,MÁRIO DA CASA DA RAÇÃO,SUPLENTE
7,DEPUTADO ESTADUAL,130001607716,39.0,2,MASCULINO,7,SUPERIOR INCOMPLETO,3,CASADO(A),3,PARDA,171,JORNALISTA E REDATOR,N,3000.0,11322,PEDRINHO MINASACONTECE,SUPLENTE
6,DEPUTADO FEDERAL,250001613819,48.0,4,FEMININO,6,ENSINO MEDIO COMPLETO,1,SOLTEIRO(A),3,PARDA,999,OUTROS,N,81000.0,340,JERUSA SILVA,SUPLENTE
6,DEPUTADO FEDERAL,50001614016,54.0,4,FEMININO,6,ENSINO MEDIO COMPLETO,3,CASADO(A),3,PARDA,257,EMPRESARIO,N,4362000.0,364,ADRIANA NEVES,SUPLENTE
7,DEPUTADO ESTADUAL,180001601321,43.0,2,MASCULINO,8,SUPERIOR COMPLETO,3,CASADO(A),3,PARDA,171,JORNALISTA E REDATOR,N,1070000.0,4378,HILDER MONÇÃO,SUPLENTE
6,DEPUTADO FEDERAL,190001600470,48.0,2,MASCULINO,8,SUPERIOR COMPLETO,9,DIVORCIADO(A),1,BRANCA,143,PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS,N,147693.15,933,PROFESSOR FABIANO,SUPLENTE
7,DEPUTADO ESTADUAL,170001618946,32.0,4,FEMININO,8,SUPERIOR COMPLETO,1,SOLTEIRO(A),2,PRETA,931,ESTUDANTE. BOLSISTA. ESTAGIARIO E ASSEMELHADOS,N,43678.0,701,JANAÍNA GOMES,NAO ELEITO
6,DEPUTADO FEDERAL,160001603302,61.0,4,FEMININO,6,ENSINO MEDIO COMPLETO,3,CASADO(A),2,PRETA,257,EMPRESARIO,N,502000.0,1105,ROSELI TERAPEUTA,SUPLENTE
7,DEPUTADO ESTADUAL,20001612338,46.0,4,FEMININO,7,SUPERIOR INCOMPLETO,1,SOLTEIRO(A),2,PRETA,601,AGRICULTOR,N,50000.0,988,DÉBORA MARCOLINO,SUPLENTE
